No.,District,2010 White Percentage,June 2013 Average Dispatch Time Priority 1,July 2013 Average Dispatch Time Priority 1,Aug 2013 Average Dispatch Time Priority 1,Sep 2013 Average Dispatch Time Priority 1
18,Near North,75.50%,0:02:46,0:02:45,0:02:27,0:02:40
19,Town Hall,75.00%,0:04:07,0:03:19,0:03:44,0:03:36
16,Jefferson Park,69.20%,0:03:15,0:02:26,0:02:59,0:02:49
20,Li ncoln/Foster,54.10%,0:02:19,0:02:46,0:02:51,0:02:52
1,Central,52.50%,0:02:24,0:02:17,0:02:31,0:02:22
24,Rogers Park,42.90%,0:02:38,0:02:55,0:02:47,0:02:35
14,Shakespeare,42.30%,0:03:41,0:03:58,0:03:56,0:03:26
12,Monroe,40.49%,0:04:14,0:03:51,0:04:14,0:04:51
17,Albany Park,38.70%,0:02:30,0:02:27,0:02:56,0:02:36
22,Morgan Park,34.20%,0:03:55,0:03:47,0:03:54,0:04:43
8,Chicago Lawn,20.80%,0:04:18,0:04:37,0:04:30,0:04:24
2,Wentworth,18.60%,0:02:59,0:03:08,0:03:11,0:03:05
9,Deering,14.70%,0:04:05,0:04:07,0:04:37,0:04:17
25,Grand Central,14.70%,0:04:11,0:04:29,0:04:57,0:04:23
4,South Chicago,8.00%,0:06:08,0:08:11,0:05:43,0:05:54
10,Ogden,3.60%,0:03:54,0:04:30,0:04:59,0:05:25
11,Harrison,2.40%,0:02:54,0:03:38,0:03:50,0:03:44
3,Grand Crossing,2.00%,0:08:29,0:10:41,0:11:05,0:08:48
15,Austin,1.60%,0:04:00,0:04:20,0:04:40,0:04:29
5,Calumet,1.10%,0:05:59,0:06:03,0:05:40,0:07:19
7,Englewood,0.40%,0:03:00,0:03:38,0:04:19,0:03:28
6,Gresham,0.30%,0:05:23,0:05:35,0:04:59,0:05:22